researcher_uuid,folder_uuid
861a8d4e-734f-4dbf-8efb-808add7d90eb,7c0a3f92-7d6f-4e6b-a20d-3ac51fbf962a
065e18e3-498f-4119-a092-fd9c604451f9,3d4385db-351e-4047-b307-97f1911c1115
a49ebfa3-3208-4e70-8488-40c268cb051d,caff7979-1817-471c-aa07-f43c4363f21b
245bee66-f7df-48e6-ab01-9f3db8e7461f,42bd9bef-9556-40e0-86cb-cf32d8d8fa44
e4528abd-51f9-4644-9a34-51de042b7197,11c594c2-b76f-4f1b-81c8-114168235dbb
245bee66-f7df-48e6-ab01-9f3db8e7461f,948435c3-1f66-47b3-b99f-8ed505329304
096d650a-f7a9-4589-977e-6a750d289b3b,78e72b7f-ad09-456d-baf6-854ca75b2ba9
5f61bb9d-8951-471a-a6ac-f260fdc29480,d3ba7f42-eaf8-4181-bc11-5f3c09807890
8ea62a96-59bd-40e2-8c52-4580b023c9a5,e724f426-5bec-477d-8594-d70cd79711cc
1aa6a879-7de4-400c-9cee-9b67aff8efa5,869c62fe-4224-4896-af80-eb72a91cb7c4
245bee66-f7df-48e6-ab01-9f3db8e7461f,0109750c-cecc-4e4f-b2d2-57a327a7586a
861a8d4e-734f-4dbf-8efb-808add7d90eb,c56c1a97-3ca0-457e-a606-f32b0e767e7b
358c50f0-87e3-42a9-8d3f-8c00b6fe877e,e759478f-65f2-4d20-b2af-f97df37e7624
861a8d4e-734f-4dbf-8efb-808add7d90eb,43f592b3-996e-496e-852b-839e64638950
e4528abd-51f9-4644-9a34-51de042b7197,f181edcd-047f-47f2-b6fb-efa7dcc3795f
e4528abd-51f9-4644-9a34-51de042b7197,fecb3fb3-14b3-40b6-87df-c9756192f760
bd498d34-1bb9-4272-82da-c93f2560369e,720a24eb-87a9-4e17-b085-caf443c372f2
861a8d4e-734f-4dbf-8efb-808add7d90eb,9afcbb89-7dc8-4034-9631-e839953db4bd
1aa6a879-7de4-400c-9cee-9b67aff8efa5,169a3b51-4909-4ef6-9811-34ed617cddea
861a8d4e-734f-4dbf-8efb-808add7d90eb,9b85e7ee-a34d-4f58-b923-ee60670c1a57
861a8d4e-734f-4dbf-8efb-808add7d90eb,4e5de8b9-b1de-42a3-ad1a-a59cd4d835c2
8ea62a96-59bd-40e2-8c52-4580b023c9a5,c6dc6d6b-f088-4a43-b08b-8ce5644d7598
245bee66-f7df-48e6-ab01-9f3db8e7461f,e4ef109b-605b-4573-afb3-0f9763b349ee
1aa6a879-7de4-400c-9cee-9b67aff8efa5,e4ef109b-605b-4573-afb3-0f9763b349ee
1aa6a879-7de4-400c-9cee-9b67aff8efa5,8d456602-3fd2-4fef-958f-b98f9c37a5f6
245bee66-f7df-48e6-ab01-9f3db8e7461f,93ede2d5-cca5-47c4-9120-050f24d90762
245bee66-f7df-48e6-ab01-9f3db8e7461f,e31b4613-7124-4d00-b5d8-5388cd3020d4
2d98aba8-f1fd-40ed-931f-ff43a0529e9c,18355b8d-49c3-4a48-8f0d-7224b19165d8
861a8d4e-734f-4dbf-8efb-808add7d90eb,8bee03b5-1d0a-4ba5-80ff-35d05d29650f
5f61bb9d-8951-471a-a6ac-f260fdc29480,ce89e4e1-273d-477e-9ee1-0d71d217b3f7
5f61bb9d-8951-471a-a6ac-f260fdc29480,5853c90a-a4ee-45f4-b98f-15850df9cade
e4528abd-51f9-4644-9a34-51de042b7197,7c255596-90a6-4f76-b926-f64ec176733a
e4528abd-51f9-4644-9a34-51de042b7197,90e0e4de-aa69-4830-8b17-32726bd5e26a
861a8d4e-734f-4dbf-8efb-808add7d90eb,690e1234-1340-44ef-96e6-04b0b5758621
8ea62a96-59bd-40e2-8c52-4580b023c9a5,331398a3-8c2e-4444-ab09-cafb3cf20928
e4528abd-51f9-4644-9a34-51de042b7197,9870987d-18ca-46e7-8c22-0aafe9773e72
245bee66-f7df-48e6-ab01-9f3db8e7461f,97b32e5e-9133-44de-84fe-998a0c3cf755
1aa6a879-7de4-400c-9cee-9b67aff8efa5,fa1ed267-ec6e-41e6-8e1a-651302857021
e4528abd-51f9-4644-9a34-51de042b7197,a0cdedc7-bbca-492d-a5f5-c00ac10115b7
245bee66-f7df-48e6-ab01-9f3db8e7461f,71a4dc31-9761-4dea-904e-4d59366b6a4a
e4528abd-51f9-4644-9a34-51de042b7197,5b86fb83-752e-4cd5-93d2-776f0ba4bab1
1aa6a879-7de4-400c-9cee-9b67aff8efa5,96163745-96de-4d0d-8cf5-e3acf8cfac24
861a8d4e-734f-4dbf-8efb-808add7d90eb,e1e817a3-ac82-4046-a8c8-4b7d5dd900ea
5f61bb9d-8951-471a-a6ac-f260fdc29480,ed97843b-ad4e-4d54-9326-881f6e1eaa2a
c0e367fc-933d-47dc-abe1-6a6da369de02,e524c35a-e429-4ee2-b0af-30f41df0cc9e
24e6ddb0-bcab-4315-a1db-57b1355db94e,e524c35a-e429-4ee2-b0af-30f41df0cc9e
30510f62-5635-4299-9f5a-42e3407f9297,e524c35a-e429-4ee2-b0af-30f41df0cc9e
e4528abd-51f9-4644-9a34-51de042b7197,91c5e347-a520-4e6e-a9df-91c623e62993
ced2f4d8-4535-4f62-a72d-905001253a2a,44e61b87-6e44-4362-96ae-15ae954a3e59
8ea62a96-59bd-40e2-8c52-4580b023c9a5,2f948e29-cf41-4182-bd6b-496e14ab0372
e4528abd-51f9-4644-9a34-51de042b7197,1ef2a602-0dfb-44ce-8e5f-a974c666ee9d
8ea62a96-59bd-40e2-8c52-4580b023c9a5,7e9bd7d6-12c2-4418-931a-59c5901dd06a
a13fa60f-27b5-4b12-9504-29445ff57422,da03df61-ecfb-4e65-9906-f47fa8a6ddb0
630ef71d-0426-4b55-8cce-aeda5bba3efc,da03df61-ecfb-4e65-9906-f47fa8a6ddb0
861a8d4e-734f-4dbf-8efb-808add7d90eb,2864e61c-c62a-4394-872d-a3c146894493
245bee66-f7df-48e6-ab01-9f3db8e7461f,4806258f-a2fd-41c0-b203-e62e93fd850f
1aa6a879-7de4-400c-9cee-9b67aff8efa5,4806258f-a2fd-41c0-b203-e62e93fd850f
861a8d4e-734f-4dbf-8efb-808add7d90eb,aae4d5d9-6a4e-440e-b6f6-74ee93b7304b
1aa6a879-7de4-400c-9cee-9b67aff8efa5,fc16d6fe-8e44-49e9-9d63-d0bb72ef9ca7
245bee66-f7df-48e6-ab01-9f3db8e7461f,e4ba51f0-6462-4725-9e8a-6e52ab616008
e4528abd-51f9-4644-9a34-51de042b7197,af22f794-ca19-4009-9e5f-9c3c0aee82d8
2d98aba8-f1fd-40ed-931f-ff43a0529e9c,ae9dcb8a-1ee6-4659-ab59-51f7fdc49c4e
065e18e3-498f-4119-a092-fd9c604451f9,3ceedd79-399c-43e7-a4d8-0100336b7eb9
e4528abd-51f9-4644-9a34-51de042b7197,157d6770-f5b3-47bd-9bed-1f447b1dbc4d
6cb5063c-5ae4-43d3-a566-c5a711037f36,357376c3-1279-454b-a43d-cf89949586fd
c0e367fc-933d-47dc-abe1-6a6da369de02,29d0a043-0638-470e-9160-d852c576eec5
1aa6a879-7de4-400c-9cee-9b67aff8efa5,60858eaf-f3d3-409a-b468-c92f70f2011c
2d98aba8-f1fd-40ed-931f-ff43a0529e9c,3c750fa5-f368-4089-bfab-c523560b5f85
1aa6a879-7de4-400c-9cee-9b67aff8efa5,da706a24-0055-4de2-bf55-65bbcecd36e5
2d98aba8-f1fd-40ed-931f-ff43a0529e9c,1d1ae602-de6d-42c1-9327-b2e68a3ba5e1
e4528abd-51f9-4644-9a34-51de042b7197,9bf9ee0f-ac36-433d-88ce-501e109d4f74
bd498d34-1bb9-4272-82da-c93f2560369e,330f3def-d73a-48e0-a3ae-6a2bb2bef949
861a8d4e-734f-4dbf-8efb-808add7d90eb,beab368e-5709-4111-a87a-99455db7de90
358c50f0-87e3-42a9-8d3f-8c00b6fe877e,9dabf039-59ed-4675-929e-105feaf9f60c
e4528abd-51f9-4644-9a34-51de042b7197,42cc4696-bc07-4379-ac0e-cbbb9ff081a1
b2bdbfb2-5323-4d67-953f-6e43813f1912,eaf4e1bb-9d92-4cf1-9cb8-d4a78556090c
861a8d4e-734f-4dbf-8efb-808add7d90eb,420a54ed-7037-49d8-8f90-af058399ec76
e4528abd-51f9-4644-9a34-51de042b7197,2a833b3f-6ca5-427e-970e-9c50e2ca413d
861a8d4e-734f-4dbf-8efb-808add7d90eb,f9347d3a-ab10-4c74-bb4d-0ed9e3bfb0b0
096d650a-f7a9-4589-977e-6a750d289b3b,40cd9bcc-3f24-47e5-a83d-fa1b893c0677
861a8d4e-734f-4dbf-8efb-808add7d90eb,f0fec7cc-d3a4-470b-8d74-b4c1423f62b8
245bee66-f7df-48e6-ab01-9f3db8e7461f,34fd2e58-20ea-441c-8339-c760a8160e7b
1aa6a879-7de4-400c-9cee-9b67aff8efa5,34fd2e58-20ea-441c-8339-c760a8160e7b
e4528abd-51f9-4644-9a34-51de042b7197,37b9f28c-dfa3-486c-ba08-145575a9521b
8ea62a96-59bd-40e2-8c52-4580b023c9a5,60e33065-a057-48c5-a0e7-c9bf016608ac
861a8d4e-734f-4dbf-8efb-808add7d90eb,8d29a59e-95f8-49ed-bdc4-5d588f3c558a
861a8d4e-734f-4dbf-8efb-808add7d90eb,6ae93e56-ffde-43a3-9fe9-d49f5a0f4c08
245bee66-f7df-48e6-ab01-9f3db8e7461f,068c69c4-a984-4479-b54a-dc5d833eb5ae
76cc3be6-26fd-400e-b5c5-5a95aead965b,15422455-7c36-435a-a4ed-26e80420e25c
245bee66-f7df-48e6-ab01-9f3db8e7461f,d11cf15b-ccd0-4b8c-bb7c-71eebb190205
e4528abd-51f9-4644-9a34-51de042b7197,eff450ac-3446-452a-a843-5e7407c646c6
e4528abd-51f9-4644-9a34-51de042b7197,2718b44b-fe98-48b9-a64c-c52133794b29
1aa6a879-7de4-400c-9cee-9b67aff8efa5,7207c149-fdef-49a2-934b-6269ff53aa6f
e4528abd-51f9-4644-9a34-51de042b7197,63d0e147-b8c7-4bdf-8479-0c1219dd9467
861a8d4e-734f-4dbf-8efb-808add7d90eb,af5e1539-a4cc-47fd-b8d6-f3920bb9e17b
e4528abd-51f9-4644-9a34-51de042b7197,d23af040-c4c9-4bb6-aea0-9cdad81dba16
245bee66-f7df-48e6-ab01-9f3db8e7461f,cbc4faed-e6c2-468b-8d96-babd22827407
861a8d4e-734f-4dbf-8efb-808add7d90eb,710344ea-c7b3-4bee-9d4e-a1ceed710453
5f61bb9d-8951-471a-a6ac-f260fdc29480,8cbf9eb3-c4f7-4ecf-b946-95c7ac170334
e4528abd-51f9-4644-9a34-51de042b7197,99b93485-b3af-4c96-9aa2-0444fddbe888
e4528abd-51f9-4644-9a34-51de042b7197,536c1dbb-3c32-40e6-8ee4-78f0f3a90fb0
1aa6a879-7de4-400c-9cee-9b67aff8efa5,6e4009b2-1104-4f0d-8179-45ed45460be7
245bee66-f7df-48e6-ab01-9f3db8e7461f,ae1f6796-000b-41e9-8fb5-7fe1f725ccb7
861a8d4e-734f-4dbf-8efb-808add7d90eb,e2ebe77e-78b0-4383-96aa-44632376bd81
7c998658-803d-4ede-b6aa-b0cddf665ff9,e2ebe77e-78b0-4383-96aa-44632376bd81
8ea62a96-59bd-40e2-8c52-4580b023c9a5,624979f0-f778-4ca1-b816-1d8cfbaf6b6e
2d98aba8-f1fd-40ed-931f-ff43a0529e9c,624979f0-f778-4ca1-b816-1d8cfbaf6b6e
358c50f0-87e3-42a9-8d3f-8c00b6fe877e,033a699a-b84e-4093-8c29-5aa0255668cd
245bee66-f7df-48e6-ab01-9f3db8e7461f,8588c5aa-ad58-44bb-a090-4cca00b2cd3d
50503249-6312-4ce8-b295-52902a898387,a1e1d011-abba-4471-82e2-aa69f0b9e534
861a8d4e-734f-4dbf-8efb-808add7d90eb,0940a15a-ea6b-42a3-b5e3-0f213f541ddf
861a8d4e-734f-4dbf-8efb-808add7d90eb,7dcdc580-e581-4d7b-9e63-c1759a73527e
e4528abd-51f9-4644-9a34-51de042b7197,23b65b9c-8f91-421e-8f14-098fdeebce8b
e4528abd-51f9-4644-9a34-51de042b7197,535d19ba-43fc-415f-8604-5307ab890337
358c50f0-87e3-42a9-8d3f-8c00b6fe877e,133efd94-3b55-47a7-815f-a87977416a73
096d650a-f7a9-4589-977e-6a750d289b3b,7a9aecb3-d22a-4bd7-9e10-5818ce5ef9db
1aa6a879-7de4-400c-9cee-9b67aff8efa5,e3588eb5-cf8c-4243-af5f-deea859f7c03
861a8d4e-734f-4dbf-8efb-808add7d90eb,4200f146-d144-4861-9374-07e3c35b762a
8ea62a96-59bd-40e2-8c52-4580b023c9a5,674e903b-15c3-4e31-9aaa-9f2aed336d6b
861a8d4e-734f-4dbf-8efb-808add7d90eb,ca66931c-2312-439c-acc7-ae70737667ed
6cb5063c-5ae4-43d3-a566-c5a711037f36,bbe52577-c173-4e47-8cde-890d2f8a5502
e4528abd-51f9-4644-9a34-51de042b7197,cd5648d8-0356-4a6b-8505-c672bca6118b
861a8d4e-734f-4dbf-8efb-808add7d90eb,d7e27b73-045c-4cab-b056-84a3d02dcf32
e4528abd-51f9-4644-9a34-51de042b7197,2d9c53a5-afde-4533-86fe-2fe48783ba6c
861a8d4e-734f-4dbf-8efb-808add7d90eb,934d2834-a450-413e-8a0c-5d2a811cce9f
5f61bb9d-8951-471a-a6ac-f260fdc29480,915aa6ce-6c5b-4b43-beba-4ac58eef0586
1aa6a879-7de4-400c-9cee-9b67aff8efa5,fd8b4dc4-9ed8-4471-b339-1bab89bf8220
e4528abd-51f9-4644-9a34-51de042b7197,7d51f5cc-bf97-4291-9e35-620011a9cb47
e4528abd-51f9-4644-9a34-51de042b7197,351a0621-ebb4-41f5-8607-f59b2ab9bff5
e4528abd-51f9-4644-9a34-51de042b7197,aab3b899-1b58-4cfe-a847-d85e94bd4ea8
e4528abd-51f9-4644-9a34-51de042b7197,d90aacbb-0d13-4ee7-a616-1e49ad83039c
a13fa60f-27b5-4b12-9504-29445ff57422,fb7cb3d1-1770-4379-8b05-cff5468bed09
630ef71d-0426-4b55-8cce-aeda5bba3efc,fb7cb3d1-1770-4379-8b05-cff5468bed09
1aa6a879-7de4-400c-9cee-9b67aff8efa5,db58d58a-f5b5-47db-91da-bfe8e2163579
861a8d4e-734f-4dbf-8efb-808add7d90eb,fbe14422-2dd2-48ac-a347-5e08bb0e589d
e4528abd-51f9-4644-9a34-51de042b7197,8de8c2f3-2cbf-425a-929b-9d0725ea482a
e4528abd-51f9-4644-9a34-51de042b7197,0366ceb9-18a2-48aa-93db-c502aa53b542
245bee66-f7df-48e6-ab01-9f3db8e7461f,4f6b945f-9766-4f7f-ba4f-94a26372c081
e4528abd-51f9-4644-9a34-51de042b7197,7627a2f9-1f50-4793-a8ce-314e114b1c75
861a8d4e-734f-4dbf-8efb-808add7d90eb,b597bc52-c994-4868-9b87-2dd7310f0039
1aa6a879-7de4-400c-9cee-9b67aff8efa5,4f6c6a55-ac7a-43c1-809c-4610b151cc77
a13fa60f-27b5-4b12-9504-29445ff57422,dd9adfea-bfb4-435f-9a75-d48670f5bf51
630ef71d-0426-4b55-8cce-aeda5bba3efc,dd9adfea-bfb4-435f-9a75-d48670f5bf51
245bee66-f7df-48e6-ab01-9f3db8e7461f,0cd9b183-11b3-434a-81f2-3e2fd9e882ea
e4528abd-51f9-4644-9a34-51de042b7197,0ea969d2-afa3-41dd-8b2e-ac294441c75a
2d98aba8-f1fd-40ed-931f-ff43a0529e9c,2f2831b0-63f9-42aa-8665-3dcd5af3a80c
e4528abd-51f9-4644-9a34-51de042b7197,e0de5d12-f4b6-47f6-8b67-29121c5dc6b5
e4528abd-51f9-4644-9a34-51de042b7197,010e9dea-6e52-4fa0-8833-f3f113a6923f
e4528abd-51f9-4644-9a34-51de042b7197,21426512-79dc-4dac-a1fd-142a57bf5e26
c0e367fc-933d-47dc-abe1-6a6da369de02,bc9d1b1e-4ccd-4227-a908-67a838ff1839
24e6ddb0-bcab-4315-a1db-57b1355db94e,bc9d1b1e-4ccd-4227-a908-67a838ff1839
30510f62-5635-4299-9f5a-42e3407f9297,bc9d1b1e-4ccd-4227-a908-67a838ff1839
6cb5063c-5ae4-43d3-a566-c5a711037f36,5d996ff1-78cd-4bd9-8a77-84de51e13a49
df9fa6c0-7dec-499e-969d-4e99caf2397f,9bcb3190-c4ae-4f95-955a-e46d1fd50212
e4528abd-51f9-4644-9a34-51de042b7197,9ca67b7c-8a33-4aea-af5c-539094f429b5
245bee66-f7df-48e6-ab01-9f3db8e7461f,58bf1df9-4543-4a2b-88d2-cd215c4a1ed8
e4528abd-51f9-4644-9a34-51de042b7197,a90ba0cb-e99d-4777-a3e3-b43dff30484e
245bee66-f7df-48e6-ab01-9f3db8e7461f,444f728e-15d4-4491-af2b-ac9d7501f74d
e4528abd-51f9-4644-9a34-51de042b7197,ef7663de-2a7e-4120-bfe7-cf4d07dcc842
e4528abd-51f9-4644-9a34-51de042b7197,589471e4-7334-4ab1-8296-aeb4ae08c6bc
6cb5063c-5ae4-43d3-a566-c5a711037f36,7057f152-02fc-4a30-bece-9f5660d6ea7a
a901e97f-60eb-4173-95b9-cc68ad994499,a3365972-ff23-4627-afb8-fbc4c646f6dd
861a8d4e-734f-4dbf-8efb-808add7d90eb,72769c37-89e3-4e6f-a990-1e17fddbe9c0
7c998658-803d-4ede-b6aa-b0cddf665ff9,72769c37-89e3-4e6f-a990-1e17fddbe9c0
e4528abd-51f9-4644-9a34-51de042b7197,64bb1592-6273-4d72-a58d-36ec74f1d537
861a8d4e-734f-4dbf-8efb-808add7d90eb,6a61d5fe-40f9-45d5-a0d1-0b47019d7264
8ea62a96-59bd-40e2-8c52-4580b023c9a5,e1619ffb-670a-40fd-ab96-f13452398552
1aa6a879-7de4-400c-9cee-9b67aff8efa5,fec1fef2-6af7-418d-b097-e52fb679bd81
